Title (title_datasheet),MKT > Produktdatenblatt > Titel
Highlights (highlights_datasheet),MKT > Produktdatenblatt > Highlights
Produktbereich (productrange_datasheet),MKT > Produktdatenblatt > Produktbereich
Produkt Detailtext (text_datasheet),MKT > Produktdatenblatt > Produkt Detailtext
Produkt Detailhighlights (usp_datasheet),MKT > Produktdatenblatt > Produkt Detailhighlights
Title (title_catalog),MKT > Katalog > Titel
Highlights (highlights_main),MKT > Katalog > Highlights
Produkt Detailtext (text_catalog),MKT > Katalog > Produkt Detailtext
Produktberater USP (productadvisorUSP),ECM > Produktberater USP
Garantie Zusatzinfo (warrantyAddon),ECM > Garantie Zusatzinfo
Title* (title_ecom_6),ECM > Eigene Webshops > Titel
Highlights* (highlights_ecom_6),ECM > Eigene Webshops > Highlights
Produkt Detailtext (text_ecom_6),ECM > Eigene Webshops > Produkt Detailtext
Produkt Detailhighlights (usp_ecom_6),ECM > Eigene Webshops > Produkt Detailhighlights
Meta Description* (seo_text_ecom_6),ECM > Eigene Webshops > SEO Meta Description
Meta Title* (metaTitle),ECM > Eigene Webshops > SEO Meta Titel
Montagebeschreibung* (text_application_ecom_6),ECM > Eigene Webshops > Montagebeschreibung
Title (title_ecom_3),ECM > Ebay > Titel
Highlights (highlights_ecom_3),ECM > Ebay > Highlights
Produkt Detailtext (text_ecom_3),ECM > Ebay > Produkt Detailtext
Produkt Detailhighlights (usp_ecom_3),ECM > Ebay > Produkt Detailhighlights
Montagebeschreibung (text_application_ecom_3),ECM > Ebay > Montagebeschreibung
Title (title_ecom_2),ECM > Amazon > Titel
Highlights (highlights_ecom_2),ECM > Amazon > Highlights
Produkt Detailtext (text_ecom_2),ECM > Amazon > Produkt Detailtext
Produkt Detailhighlights (usp_ecom_2),ECM > Amazon > Produkt Detailhighlights
Montagebeschreibung (text_application_ecom_2),ECM > Amazon > Montagebeschreibung
Title (title_rakuten),ECM > Rakuten > Titel
Highlights (highlights_rakuten),ECM > Rakuten > Highlights
Produkt Detailtext (text_rakuten),ECM > Rakuten > Produkt Detailtext
Produkt Detailhighlights (usp_rakuten),ECM > Rakuten > Produkt Detailhighlights
Montagebeschreibung (text_application_rakuten),ECM > Rakuten > Montagebeschreibung
Title (title_ecom_1),SAL ONL > Amazon Vendor > Titel
Highlights (highlights_ecom_1),SAL ONL > Amazon Vendor > Highlights
Produkt Detailtext (text_ecom_1),SAL ONL > Amazon Vendor > Produkt Detailtext
Produkt Detailhighlights (usp_ecom_1),SAL ONL > Amazon Vendor > Produkt Detailhighlights
Montagebeschreibung (text_application_ecom_1),SAL ONL > Amazon Vendor > Montagebeschreibung

MKT Meta Title (mktmetatitle),MKT > Corporate Website > SEO Meta Title
Meta Description (seo_text_main),MKT > Corporate Website > SEO Meta Description
Titel 1 (esbTitle1),"Import > Titel 1"
Titel 2 (esbTitle2),"Import > Titel 2"
Titel 3 (esbTitle3),"Import > Titel 3"


plugin_windhager_action_PMT,"PMT Daten kopieren"
plugin_windhager_action_MKT,"MKT Daten kopieren"
plugin_windhager_action_PUR,"PUR Daten kopieren"
plugin_windhager_action_ECM,"ECM Daten kopieren"
"plugin_windhager_action_SAL DIY","SAL DIY Daten kopieren"
"plugin_windhager_action_SAL ONL","SAL ONL Daten kopieren"
"plugin_windhager_copy_only_text","Nur Texte kopieren"
"plugin_windhager_copy_only_image","Nur Bilder kopieren"
"plugin_windhager_todo_list","To-do-Liste"
"plugin_pm_exportCategories","Kategorien exportieren"
"plugin_pm_exportArticles","Artikel exportieren"
